Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
SP1,10-12-2006,Santander,Zaragoza,0,2,A,0,0,D,2006
SP1,10-12-2006,Valencia,La Coruna,4,0,H,2,0,H,2006
SP1,16-12-2006,La Coruna,Ath Bilbao,0,2,A,0,1,A,2006
SP1,16-12-2006,Mallorca,Santander,1,2,A,1,0,H,2006
SP1,16-12-2006,Zaragoza,Valencia,0,1,A,0,1,A,2006
SP1,17-12-2006,Ath Madrid,Getafe,1,0,H,1,0,H,2006
SP1,17-12-2006,Espanol,Real Madrid,0,1,A,0,0,D,2006
SP1,17-12-2006,Levante,Celta,1,1,D,0,1,A,2006
SP1,17-12-2006,Recreativo,Sevilla,1,3,A,1,2,A,2006
SP1,17-12-2006,Sociedad,Gimnastic,3,2,H,0,1,A,2006
SP1,17-12-2006,Villarreal,Osasuna,1,4,A,0,2,A,2006
SP1,19-12-2006,Ath Bilbao,Zaragoza,0,0,D,0,0,D,2006
SP1,19-12-2006,Valencia,Mallorca,3,1,H,1,0,H,2006
SP1,20-12-2006,Celta,Sociedad,0,0,D,0,0,D,2006
SP1,20-12-2006,Getafe,Espanol,0,1,A,0,0,D,2006
SP1,20-12-2006,Gimnastic,Betis,0,1,A,0,0,D,2006
SP1,20-12-2006,Osasuna,Levante,2,1,H,0,0,D,2006
SP1,20-12-2006,Real Madrid,Recreativo,0,3,A,0,1,A,2006
SP1,20-12-2006,Santander,Villarreal,2,1,H,0,0,D,2006
SP1,20-12-2006,Sevilla,La Coruna,4,0,H,1,0,H,2006
SP1,21-12-2006,Barcelona,Ath Madrid,1,1,D,1,0,H,2006
SP1,06-01-2007,Ath Madrid,Gimnastic,0,0,D,0,0,D,2006
SP1,06-01-2007,Sociedad,Osasuna,2,1,H,1,0,H,2006
SP1,06-01-2007,Zaragoza,Sevilla,2,1,H,1,0,H,2006
SP1,07-01-2007,Betis,Celta,1,0,H,0,0,D,2006
SP1,07-01-2007,Espanol,Recreativo,0,1,A,0,0,D,2006
SP1,07-01-2007,Getafe,Barcelona,1,1,D,0,0,D,2006
SP1,07-01-2007,La Coruna,Real Madrid,2,0,H,1,0,H,2006
SP1,07-01-2007,Levante,Santander,2,0,H,0,0,D,2006
SP1,07-01-2007,Mallorca,Ath Bilbao,1,3,A,0,1,A,2006
SP1,07-01-2007,Villarreal,Valencia,0,1,A,0,0,D,2006
SP1,13-01-2007,Espanol,Barcelona,3,1,H,1,0,H,2006
SP1,13-01-2007,Valencia,Levante,3,0,H,0,0,D,2006
SP1,14-01-2007,Ath Bilbao,Villarreal,0,1,A,0,0,D,2006
SP1,14-01-2007,Celta,Ath Madrid,1,3,A,0,2,A,2006
SP1,14-01-2007,Gimnastic,Getafe,1,3,A,0,2,A,2006
SP1,14-01-2007,Osasuna,Betis,5,1,H,2,1,H,2006
SP1,14-01-2007,Real Madrid,Zaragoza,1,0,H,1,0,H,2006
SP1,14-01-2007,Recreativo,La Coruna,1,1,D,1,1,D,2006
SP1,14-01-2007,Santander,Sociedad,1,0,H,0,0,D,2006
SP1,14-01-2007,Sevilla,Mallorca,1,2,A,1,0,H,2006
SP1,20-01-2007,Ath Madrid,Osasuna,1,0,H,0,0,D,2006
SP1,20-01-2007,Villarreal,Sevilla,0,0,D,0,0,D,2006
SP1,21-01-2007,Barcelona,Gimnastic,3,0,H,1,0,H,2006
SP1,21-01-2007,Betis,Santander,1,1,D,0,0,D,2006
SP1,21-01-2007,Getafe,Celta,1,0,H,1,0,H,2006
SP1,21-01-2007,La Coruna,Espanol,0,0,D,0,0,D,2006
SP1,21-01-2007,Levante,Ath Bilbao,0,0,D,0,0,D,2006
SP1,21-01-2007,Mallorca,Real Madrid,0,1,A,0,0,D,2006
SP1,21-01-2007,Sociedad,Valencia,0,1,A,0,1,A,2006
SP1,21-01-2007,Zaragoza,Recreativo,0,0,D,0,0,D,2006
